Date,ypf,ypfdba,ggal,ggalba,bma,bmaba,pam,pampba,bbar,bbarba,ccl
2010-02-02,33.69085693359375,138.112060546875,4.3692946434021,1.6237685680389404,18.757688522338867,4.127187728881836,11.183631896972656,1.739824891090393,4.382557392120361,4.98252010345459,3.463178001124933
2010-02-03,33.77936935424805,138.112060546875,4.303466796875,1.607848882675171,18.30601692199707,4.127187728881836,11.21327018737793,1.739824891090393,4.308618545532227,4.946930408477783,3.480551974186271
2010-02-04,32.990814208984375,137.0952606201172,4.089528560638428,1.5362123250961304,17.063920974731445,3.859684467315674,10.778570175170898,1.670231819152832,4.0935235023498535,4.656283378601074,3.4920601851019724
2010-02-05,32.27466583251953,137.0952606201172,3.9907867908477783,1.4645756483078003,16.97756576538086,3.6686105728149414,10.52170181274414,1.6105806827545166,4.02630615234375,4.4486775398254395,3.4440064356485984
2010-02-08,32.508026123046875,131.3335723876953,3.966102123260498,1.4645756483078003,16.5723934173584,3.6762545108795166,10.432787895202637,1.6304644346237183,3.945645332336426,4.4486775398254395,3.4481215981161446
2010-02-09,32.604576110839844,128.79159545898438,3.924959182739258,1.5043737888336182,16.559106826782227,3.7068254947662354,10.847726821899414,1.670231819152832,3.945645332336426,4.4071574211120605,3.4443316875801093
2010-02-10,33.31267547607422,127.09700012207031,3.966102123260498,1.480494737625122,16.672025680541992,3.7030041217803955,10.956401824951172,1.6901155710220337,3.945645332336426,4.4486775398254395,3.4016323697842283
2010-02-11,32.990814208984375,128.79159545898438,4.13067102432251,1.544171690940857,16.91778564453125,3.7679686546325684,10.96628189086914,1.7000575065612793,3.985975980758667,4.537652015686035,3.432050499808767
2010-02-12,32.8781623840332,128.79159545898438,4.237640857696533,1.5521316528320312,17.170194625854492,3.8214685916900635,10.91688346862793,1.7000575065612793,4.053194046020508,4.5969672203063965,3.4202533101867303
2010-02-17,32.749412536621094,132.1808624267578,3.9578731060028076,1.5202927589416504,17.99382781982422,3.9743287563323975,11.114474296569824,1.7497667074203491,4.140575885772705,4.662214756011963,3.479952730605349
2010-02-18,33.014949798583984,132.1808624267578,3.9743309020996094,1.5123331546783447,18.31930160522461,4.088973522186279,11.173751831054688,1.7597085237503052,4.113689422607422,4.66814661026001,3.4764949709193393
2010-02-19,33.10346603393555,135.57012939453125,4.056614398956299,1.5043737888336182,18.34587287902832,4.146295547485352,11.21327018737793,1.739824891090393,4.127132892608643,4.644420146942139,3.46376365197647
2010-02-22,32.765506744384766,135.57012939453125,3.9990158081054688,1.5123331546783447,18.46543312072754,4.108079433441162,11.06507682800293,1.7298829555511475,4.180905342102051,4.834230899810791,3.504262518451746
2010-02-23,33.32876205444336,133.87547302246094,3.9414167404174805,1.4884543418884277,18.239593505859375,4.127187728881836,10.709413528442383,1.670231819152832,4.080080986022949,4.774914741516113,3.493180127863
2010-02-24,33.771324157714844,133.87547302246094,3.9414167404174805,1.4884543418884277,18.01375961303711,4.108079433441162,10.610617637634277,1.670231819152832,4.080080986022949,4.733394145965576,3.487359198074843
2010-02-25,32.95057678222656,133.87547302246094,3.883817195892334,1.472535252571106,17.356178283691406,3.917006015777588,10.324111938476562,1.6503480672836304,3.9590885639190674,4.656283378601074,3.527172274616234
2010-02-26,33.03104019165039,134.72279357910156,3.949645757675171,1.5123331546783447,17.243261337280273,3.917006015777588,10.501943588256836,1.6503480672836304,4.086801528930664,4.656283378601074,3.5052071223344834
2010-03-01,32.73331832885742,134.72279357910156,4.089528560638428,1.5521316528320312,17.920766830444336,4.012543201446533,10.551342010498047,1.7000575065612793,4.160741329193115,4.757120609283447,3.521652198154547
2010-03-02,32.620670318603516,134.72279357910156,4.171812057495117,1.5680508613586426,18.31265640258789,4.088973522186279,10.91688346862793,1.7298829555511475,4.221236228942871,4.816435813903809,3.5012038930510974
2010-03-03,33.98857879638672,133.45184326171875,4.122442722320557,1.5521316528320312,18.159889221191406,4.031650543212891,10.877366065979004,1.7298829555511475,4.100245952606201,4.852025032043457,3.4874925560564742
2010-03-04,34.50355911254883,137.2647705078125,4.089528560638428,1.544171690940857,18.120033264160156,3.9743287563323975,11.06507682800293,1.7000575065612793,4.167462348937988,4.7452569007873535,3.4409009363625396
2010-03-05,35.5978889465332,144.0432586669922,4.0319294929504395,1.544171690940857,18.30601692199707,4.088973522186279,11.06507682800293,1.7199411392211914,4.167462348937988,4.774914741516113,3.4866367580768056
2010-03-08,35.56570816040039,141.50132751464844,4.13067102432251,1.544171690940857,18.53185272216797,4.165402412414551,10.96628189086914,1.7000575065612793,4.268289089202881,4.834230899810791,3.4476036701959805
